as_of,record_type,region,sort_order,key,label,market,target,window,method,family,period,week_label,cutoff_day,value,value_label,prior_period,signal,interpretation,status,rank,months,mae,rmse,pearson,forecast,actual,error,note,
Jun-26,meta,,1,generatedAt,,,,,,,,,,2026/6/13,,,,,,,,,,,,,,,
Jun-26,meta,,3,nextUpdate,,,,,,,,,,2026/6/15,,,,,,,,,,,,,,,
Jun-26,monthly_prediction,us,1,,US,,,,,,Jun-26,,,54.1,54.1,May-26,"+1.90 vs May ICS, suggesting a modest rebound in household sentiment.",The signal points to slightly firmer consumer conditions entering June.,,,,,,,,,,,
Jun-26,monthly_prediction,eu,2,,EU27,,,,,,Jun-26,,,-12.8,-12.8,May-26,"+0.40 vs May, implying a small improvement in confidence.",The less negative reading points to slightly easier consumer conditions.,,,,,,,,,,,
Jun-26,monthly_prediction,jp,3,,Japan,,,,,,Jun-26,,,36.2,36.2,May-26,"+0.80 vs May, indicating a mild strengthening in household confidence.","The signal suggests consumer sentiment is firming, but not sharply.",,,,,,,,,,,
Jun-26,weekly_prediction,us,1,,US,,,,,,May-26,May W2,10,,,,Stable vs early May,Survey-style weekly estimate based on May ICS level.,,,,,,,52.2,50.8,53.1,,
Jun-26,weekly_prediction,us,2,,US,,,,,,May-26,May W3,17,,,,Slight improvement,Survey-style weekly estimate based on May ICS level.,,,,,,,52.7,51.2,53.7,,
Jun-26,weekly_prediction,us,3,,US,,,,,,May-26,May W4,24,,,,Sentiment firms late in May,Survey-style weekly estimate based on May ICS level.,,,,,,,53.4,51.9,54.4,,
Jun-26,weekly_prediction,us,4,,US,,,,,,Jun-26,Jun W1,3,,,,Early June rebound continues,Survey-style weekly estimate based on May ICS level.,,,,,,,54.1,52.8,52,,
Jun-26,weekly_prediction,eu,1,,EU27,,,,,,May-26,May W2,10,,,,Confidence remains soft,Weekly nowcast interpolated from the May and June EU27 confidence path.,,,,,,,-13.35,,,,
Jun-26,weekly_prediction,eu,2,,EU27,,,,,,May-26,May W3,17,,,,Small improvement,Weekly nowcast interpolated from the May and June EU27 confidence path.,,,,,,,-13.25,,,,
Jun-26,weekly_prediction,eu,3,,EU27,,,,,,May-26,May W4,24,,,,Late-May stabilization,Weekly nowcast interpolated from the May and June EU27 confidence path.,,,,,,,-13.10,,,,
Jun-26,weekly_prediction,eu,4,,EU27,,,,,,Jun-26,Jun W1,3,,,,Early June firms slightly,Weekly nowcast interpolated from the May and June EU27 confidence path.,,,,,,,-12.80,,,,
Jun-26,weekly_prediction,jp,1,,Japan,,,,,,May-26,May W2,10,,,,Mild improvement,Weekly nowcast interpolated from the May and June Japan confidence path.,,,,,,,35.50,,,,
